2008-02-06 16:05:19 Debug: Notice (8): Undefined variable: book in [APP\views\books\index.ctp, line 3]
2008-02-06 16:05:19 Debug: Notice (8): Undefined variable: book in [APP\views\books\index.ctp, line 4]
2008-02-06 16:05:19 Debug: Notice (8): Undefined variable: book in [APP\views\books\index.ctp, line 5]
2008-02-06 16:05:19 Debug: Notice (8): Undefined variable: book in [APP\views\books\index.ctp, line 6]
2008-02-06 16:05:20 Debug: Notice (8): Undefined variable: book in [APP\views\books\index.ctp, line 3]
2008-02-06 16:05:20 Debug: Notice (8): Undefined variable: book in [APP\views\books\index.ctp, line 4]
2008-02-06 16:05:20 Debug: Notice (8): Undefined variable: book in [APP\views\books\index.ctp, line 5]
2008-02-06 16:05:20 Debug: Notice (8): Undefined variable: book in [APP\views\books\index.ctp, line 6]
2008-02-06 16:06:05 Debug: Notice (8): Undefined variable: book_title in [APP\views\books\index.ctp, line 3]
2008-02-06 16:06:05 Debug: Notice (8): Undefined variable: release_date in [APP\views\books\index.ctp, line 6]
2008-02-06 16:06:26 Debug: Notice (8): Undefined variable: book_title in [APP\views\books\index.ctp, line 3]
2008-02-06 17:36:27 Debug: Notice (8): Undefined variable: bookTitle in [APP\views\elements\book_info.ctp, line 2]
2008-02-06 17:36:27 Debug: Notice (8): Undefined variable: author in [APP\views\elements\book_info.ctp, line 3]
2008-02-06 17:36:27 Debug: Notice (8): Undefined variable: isbn in [APP\views\elements\book_info.ctp, line 4]
2008-02-06 17:36:27 Debug: Notice (8): Undefined variable: releaseDate in [APP\views\elements\book_info.ctp, line 5]
2008-02-06 17:40:17 Debug: Notice (8): Undefined property:  BooksController::$book in [APP\controllers\books_controller.php, line 33]
2008-02-06 17:40:57 Debug: Notice (8): Undefined index:  2 in [APP\controllers\books_controller.php, line 33]
2008-02-06 19:16:00 Debug: Notice (8): Undefined variable: isbn_as_number in [APP\views\helpers\format.php, line 6]
2008-02-06 19:16:00 Debug: Notice (8): Undefined variable: isbn_as_number in [APP\views\helpers\format.php, line 7]
2008-02-06 19:16:00 Debug: Notice (8): Undefined variable: isbn_as_number in [APP\views\helpers\format.php, line 8]
2008-02-06 19:16:00 Debug: Notice (8): Undefined variable: isbn_as_number in [APP\views\helpers\format.php, line 9]
2008-02-08 03:56:29 Debug: Notice (8): Undefined variable: data in [APP\controllers\books_controller.php, line 35]
2008-02-08 04:01:28 Debug: Notice (8): Undefined index:  book_title in [APP\views\elements\book_info.ctp, line 2]
2008-02-08 04:01:28 Debug: Notice (8): Undefined index:  author in [APP\views\elements\book_info.ctp, line 3]
2008-02-08 04:01:28 Debug: Notice (8): Undefined index:  isbn in [APP\views\elements\book_info.ctp, line 4]
2008-02-08 04:01:28 Debug: Notice (8): Undefined index:  release_date in [APP\views\elements\book_info.ctp, line 5]
2008-02-08 20:28:49 Debug: Notice (8): Undefined variable: params in [APP\views\books\add.ctp, line 1]
2008-02-08 20:29:37 Debug: Notice (8): Trying to get property of non-object in [APP\views\books\add.ctp, line 1]
2008-02-08 20:36:58 Debug: Notice (8): Undefined index:  book_title in [APP\views\elements\book_info.ctp, line 3]
2008-02-08 20:36:58 Debug: Notice (8): Undefined index:  author in [APP\views\elements\book_info.ctp, line 4]
2008-02-08 20:36:58 Debug: Notice (8): Undefined index:  isbn in [APP\views\elements\book_info.ctp, line 5]
2008-06-19 11:42:56 Debug: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [CORE\cake\libs\debugger.php, line 535]
